nonredund_free_pdb nonredund_free_pangle
4OB5_1 -45.409609
3INU_1 -45.840719
 
 
1M7D_1 -52.547748
1JFQ_1 -45.197002
 
3HC0_1 -44.357534
4NJA_1 -47.268499
3CM9_1 -46.732036
4R0L_1 -42.676107
 
5I73_1 -50.228267
 
1LO2_1 -45.212532
3GKW_1 -37.223263
 
1WC7_1 -44.759831
 
1RHH_1 -45.344466
4PB0_1 -46.352529
2AI0_1 -49.373975
 
4K23_1 -50.094058
 
 
1NGQ_1 -47.555275
1Q0X_1 -47.746648
 
1CLO_1 -46.265319
 
 
 
3J3P_1 -44.950659
3IXX_1 -49.949362
 
 
5DR5_1 -43.058297
 
 
4IOI_1 -46.575834
 
5JOR_1 -49.360271
1NJ9_1 -49.887301
 
 
3QPX_1 -46.816694
 
3J3Z_1 -51.198245
 
1YUH_1 -49.135477
2DDQ_1 -42.605647
